CER Category					Examples	AutoExpanded
Celestial Object					celestial object, astronomical body, cluster, clusters, celestial body, heavenly body, astronomical object, extraterrestrial object, extraterrestrial body, solar body, extrasolar body, extraterrestrial-object, clustered, extraterrestrial-body, celestial-body, astronomical-body, solar-body, extrasolar-body, celestial-object, heavenly-body, astronomical-object, clustering	celestial object, astronomical body, clusters, celestial body, heavenly body, astronomical object, extraterrestrial object, extraterrestrial body, solar body, extrasolar body, |, extraterrestrial-object, clustered, extraterrestrial-body, celestial-body, astronomical-body, solar-body, extrasolar-body, celestial-object, heavenly-body, astronomical-object, clustering, |
	Asteroid				asteroid belt, Kuiper belt, asteroid, planetoid, Apollo asteroid, Chiron, Pallas, Vesta, Astraea, Hebe, Iris, Flora, Metis, Hygiea 	asteroid belt, kuiper belt, asteroid, planetoid, apollo asteroid, chiron, pallas, vesta, astraea, hebe, iris, flora, metis, hygiea, |, apollo-asteroid, asteroid-belt, kuiper-belt, planetoids, irides, irises, floras, asteroids, florae
	Black hole				super-massive black hole, black hole, Centaurus A, Arp 220, Messier 77, Messier 84, NGC 1023, NGC 1097, NGC 1277, AOM 08279+5255, Sagittarius A*, TON 618	super-massive black hole, black hole, centaurus a, arp 220, messier 77, messier 84, ngc 1023, ngc 1097, ngc 1277, aom 08279+5255, sagittarius a*, ton 618, |, messier-77, messier-84, ngc-1023, ngc-1277, arp-220, sagittarius-a*, ton-618, super massive black hole, black-hole, aom-08279+5255, centaurus-a, ngc-1097, super-massive-black-hole
	Comet				Halley's comet, comet, Shoemaker-Levy, Caesar's Comet, Donati's Comet, Coggia's Comet, Skjellerup-Maristany, Arend-Roland, Seki-Lines, Ikeya-Seki, Comet West, Kyakutake, Hale-Bopp, McNaught, Lovejoy, Humason, Hyakutake, Borrelly, Encke, Kohoutek, Mrkos, Great Comet of 1807, Great Comet of 1811, Great March Comet of 1843, Great January Comet, Swift–Tuttle	halley's comet, comet, shoemaker-levy, caesar's comet, donati's comet, coggia's comet, skjellerup-maristany, arend-roland, seki-lines, ikeya-seki, comet west, kyakutake, hale-bopp, mcnaught, lovejoy, humason, hyakutake, borrelly, encke, kohoutek, mrkos, great comet of 1807, great comet of 1811, great march comet of 1843, great january comet, swift–tuttle, |, caesar's-comet, comets, halley's-comet, arend roland, great-march-comet-of-1843, seki lines, great-comet-of-1807, great-comet-of-1811, comet-west, great-january-comet, coggia's-comet, shoemaker levy, hale bopp, donati's-comet, skjellerup maristany, ikeya seki
	Constellation				constellation, Leo, Little Dipper, pattern of stars, star pattern, star patterns, Big Dipper, Andromeda, Antlia, Apus, Aquarius, Aquila, Ara, Aries, Auriga, Bootes, Caelum, Camelopardalis, cancer, Canes Venatici, Canis Major, Capricoruns, Carina, Cassiopeia, Centaurus, Cepheus, Cetus, Chamaeleon, Circinus, Columba, Coma Berenices, Corona Australis, Corona Borealis, Corvus, Crater, Crux, Cygnus, Delphinus, Dorado, Draco, Equuleus, eridanus, Fornax, Gemini, Grus, Hercules, Horologium, Hydra, Hydrus, Indus, Lacerta, Leo Minor, Lepus, Libra, Lupus, Lynx, Lyra, Mensa, Microscopium, Monoceros, Musca, Norma, Octans, Ophiuchus, Orion, Pavo, Pegasus, Perseus, Phoenix, Pictor, Pisces, Piscis Austrinus, Puppis, Pyxis, Reticulum, Sagitta, Sagittarius, Scorpius, Sculptor, Scutum, Serpens, Sextans, Taurus, Telescopium, Triangulum, Triangulum Australe, Tucana, ursa Major, Ursa Minor, Vela, Virgo, Volans, Vulpecula, Centauri, Centaurus, dipper	constellation, leo, little dipper, pattern of stars/star patterns, big dipper, andromeda, antlia, apus, aquarius, aquila, ara, aries, auriga, bootes, caelum, camelopardalis, cancer, canes venatici, canis major, capricoruns, carina, cassiopeia, centaurus, cepheus, cetus, chamaeleon, circinus, columba, coma berenices, corona australis, corona borealis, corvus, crater, crux, cygnus, delphinus, dorado, draco, equuleus, eridanus, fornax, gemini, grus, hercules, horologium, hydra, hydrus, indus, lacerta, leo minor, lepus, libra, lupus, lynx, lyra, mensa, microscopium, monoceros, musca, norma, octans, ophiuchus, orion, pavo, pegasus, perseus, phoenix, pictor, pisces, piscis austrinus, puppis, pyxis, reticulum, sagitta, sagittarius, scorpius, sculptor, scutum, serpens, sextans, taurus, telescopium, triangulum, triangulum australe, tucana, ursa major, ursa minor, vela, virgo, volans, vulpecula, |, aquariuses, hydras, lyras, virgos, lynxes, pattern-of-stars/star-patterns, canis-major, big-dipper, lyrae, taurusses, phoenixes, canes-venatici, ursa-major, cruxes, sculptors, sagittariuses, piscis-austrinus, corona-borealis, reticulums, aras, cancers, triangulum-australe, leo-minor, cratering, craters, little-dipper, ursa-minor, cruces, coma-berenices, corona-australis, constellations, leos, reticula, hydrae, cratered, libras, velums
	Galaxy				Andromeda galaxy, Milky Way, M87, galaxy, Large Magellanic Cloud galaxy, Black Eye Galaxy, Bode's Galaxy, Cartwheel Galax, Cigar Galaxy, Comet Galaxy, Cosmos Redshift 7, Hoag's Object, Small Magellanic Cloud, Mayall's Object, Pinwheel Galaxy, Sombrero Galaxy, Sunflower Galaxy, Tadpole Galaxy, Whirlpool Galaxy, Triangulum Galaxy, Centaurus A, Messier 83, Messier 51, Messier 31, NGC 1068, M77, Cygnus A, 3C273, 3C48, 3C279, Malin 1, III Zw 2, BL Lacertae, Canis Major Dwarf, GN-z11, 3C 273, ULAS J1342+0928, NGC 5128, PKS 1322-427, TN J0924-2201, Circinus Galaxy, Markarian 421, Mrk 421, Mkn 421, PKS 1101+384, LEDA 33452, Q0906+6930, IC 1127, Arp 220, M82, Arp 337, 3C 231, SPT 0243-49, Virgo Stellar Stream, Sagittarius Dwarf Elliptical Galaxy, abell 1835 ir1916, abell 2142, andromeda i, andromeda ii, andromeda iii, andromeda xix, baby boom galaxy, barnards galaxy, ngc 6822, m64, m81, canis major dwarf galaxy, cartwheel galaxy, centaurus a galaxy, ic 10, ic 1101 largest known galaxy, ic 1613, large magellanic cloud, leo i, leo ii, lgs 3, messier 49, ngc 4472, messier 83 southern pinwheel galaxy, messier 84, ngc 4374, messier 87, ngc 4486, messier 100, ngc 4321, ngc185, ngc147, ngc 205, m110, ngs 221, m32, ngc 4526, ngc 6822, m101, m104, spindle galaxy, m102, starfish galaxy, m63, m33, m51, wolf-lundmark-melotte, wlm	andromeda galaxy, milky way, m87, galaxy, large magellanic cloud galaxy, black eye galaxy, bode's galaxy, cartwheel galax, cigar galaxy, comet galaxy, cosmos redshift 7, hoag's object, small magellanic cloud, mayall's object, pinwheel galaxy, sombrero galaxy, sunflower galaxy, tadpole galaxy, whirlpool galaxy, triangulum galaxy, centaurus a, messier 83, messier 51, messier 31, ngc 1068, m77, cygnus a, 3c273, 3c48, 3c279, malin 1, iii zw 2, bl lacertae, canis major dwarf, gn-z11, 3c 273, ulas j1342+0928, ngc 5128, pks 1322-427, tn j0924-2201, circinus galaxy, markarian 421, mrk 421, mkn 421, pks 1101+384, leda 33452, q0906+6930, ic 1127, arp 220, m82, arp 337, 3c 231, spt 0243-49, virgo stellar stream, sagittarius dwarf elliptical galaxy, abell 1835 ir1916, abell 2142, andromeda i, andromeda ii, andromeda iii, andromeda xix, baby boom galaxy, barnards galaxy, ngc 6822, m64, m81, canis major dwarf galaxy, cartwheel galaxy, centaurus a galaxy, ic 10, ic 1101 largest known galaxy, ic 1613, large magellanic cloud, leo i, leo ii, lgs 3, messier 49, ngc 4472, messier 83 southern pinwheel galaxy, messier 84, ngc 4374, messier 87, ngc 4486, messier 100, ngc 4321, ngc185, ngc147, ngc 205, m110, ngs 221, m32, ngc 4526, ngc 6822, m101, m104, spindle galaxy, m102, starfish galaxy, m63, m33, m51, wolf-lundmark-melotte, wlm, |, ngc-205, ngc-4321, pks-1101+384, sombrero-galaxy, ulas-j1342+0928, small-magellanic-cloud, cigar-galaxy, sunflower-galaxy, leo-i, arp-337, bode's-galaxy, 3c-231, lgs-3, mrk-421, messier-84, cartwheel-galax, ic-1127, spt 0243 49, ngc-6822, tn j0924 2201, whirlpool-galaxy, gn z11, messier-100, messier-51, leo-ii, large-magellanic-cloud, comet-galaxy, milky-way, tadpole-galaxy, mkn-421, galaxies, ic-10, virgo-stellar-stream, barnards-galaxy, canis-major-dwarf, pks 1322 427, messier-31, ngc-4374, ngs-221, circinus-galaxy, wolf lundmark melotte, andromeda-galaxy, sagittarius-dwarf-elliptical-galaxy, starfish-galaxy, ngc-4526, triangulum-galaxy, 3c-273, mayall's-object, andromeda-i, messier-49, arp-220, leda-33452, ic-1613, andromeda-ii, large-magellanic-cloud-galaxy, hoag's-object, cygnus-a, andromeda-iii, spt-0243-49, pinwheel-galaxy, bl-lacertae, ngc-1068, abell-1835-ir1916, ngc-4486, messier-83, markarian-421, cosmos-redshift-7, ngc-5128, pks-1322-427, ic-1101-largest-known-galaxy, messier-87, malin-1, baby-boom-galaxy, centaurus-a-galaxy, messier-83-southern-pinwheel-galaxy, black-eye-galaxy, tn-j0924-2201, iii-zw-2, canis-major-dwarf-galaxy, ngc-4472, centaurus-a, andromeda-xix, cartwheel-galaxy, abell-2142, spindle-galaxy
		Galaxy parts			galactic region, halo, spiral arm, spiral arms, nuclear bulge	galactic region, halo, spiral arms, nuclear bulge, |, spiral-arms, halos, nuclear-bulge, galactic-region, haloes
	Light				light, ray, rays, beam, beam of light, ray of light, counterglow, gegenschein, glow, radiance, corona, flash, band, mirage	light, rays, beam, beam of light, ray of light, counterglow, gegenschein, glow, radiance, corona, flash, band, mirage, |, lights, glowing, banding, beaming, mirages, coronae, lighting, lightness, flashed, lit, flashing, beam-of-light, beams, lighter, coronas, radiant, glows, flashes, bands, glowed, lighted, beamed, lightest, banded, radiances, ray-of-light
		celestial light on Earth			daylight, sunlight, starlight, moonlight, shaft, shaft of light, half-light, moonshine, sunshine, twilight	daylight, sunlight, starlight, moonlight, shaft, shaft of light, half-light, moonshine, sunshine, twilight, |, shafts, moonlighting, moonlights, shafting, sunlights, moonlighted, half light, daylights, shafted, moonshiners, shaft-of-light, twilights
	Meteor				meteor, meteoroid, meteorite, Perseids, Lyrids, Quadrantids, Geminids, Eta Aquariids, Orionids, Leonids, Southern Delta Aquarids, Ursids, micrometeoroid, micrometeoroids	meteor, meteoroid, meteorite, perseids, lyrids, quadrantids, geminids, eta aquariids, orionids, leonids, southern delta aquarids, ursids, micrometeoriod, |, southern-delta-aquarids, meteoroids, meteorites, eta-aquariids, perseid, meteors
